2021-11-16 11:47:43.214 | INFO     | request id: None | __main__:build_and_run - Model setup completed successfully.
2021-11-16 11:47:43.214 | INFO     | request id: None | __main__:build_and_run - Solving model...
2021-11-16 11:47:43.235 | DEBUG    | request id: None | __main__:_solve_model - Solver starting...
2021-11-16 11:47:43.280 | DEBUG    | request id: None | __main__:_solve_model - Solver completed.
2021-11-16 11:47:43.280 | DEBUG    | request id: None | __main__:_solve_model - Solution is feasible and optimal
2021-11-16 11:47:43.282 | INFO     | request id: None | __main__:build_and_run - Model solved successfully.
2021-11-16 11:51:05.649 | DEBUG    | request id: None | base.data_connectors.PandasFileConnector:load - [PandasFileConnector] Data loading (./data/or2/q1_data.csv) initiated...
2021-11-16 11:51:05.650 | DEBUG    | request id: None | base.data_connectors.PandasFileConnector:_check_filetype - [_check_filetype] File extension detected as .csv
2021-11-16 11:51:05.655 | INFO     | request id: None | base.data_connectors.PandasFileConnector:load - [PandasFileConnector] Data loaded (./data/or2/q1_data.csv) successfully.
2021-11-16 11:51:05.689 | INFO     | request id: None | __main__:build_and_run - Setting up model...
2021-11-16 11:51:05.690 | DEBUG    | request id: None | __main__:_set_parameters - Defining model indices and sets...
2021-11-16 11:51:05.691 | DEBUG    | request id: None | __main__:_set_parameters - Model indices and sets defined successfully.
2021-11-16 11:51:05.692 | DEBUG    | request id: None | __main__:_set_parameters - Defining model parameters...
2021-11-16 11:51:05.718 | DEBUG    | request id: None | __main__:_set_parameters - Model parameters defined successfully.
2021-11-16 11:51:05.718 | DEBUG    | request id: None | __main__:_set_parameters - Defining model decision variables...
2021-11-16 11:51:05.719 | DEBUG    | request id: None | __main__:_set_parameters - Model decision variables defined successfully.
2021-11-16 11:51:05.720 | DEBUG    | request id: None | __main__:_set_constraints - Defining model constraints...
2021-11-16 11:51:05.725 | DEBUG    | request id: None | __main__:_set_constraints - Model constraints defined successfully.
2021-11-16 11:51:05.726 | DEBUG    | request id: None | __main__:_set_objective_function - Defining model objective function...
2021-11-16 11:51:05.727 | DEBUG    | request id: None | __main__:_set_objective_function - Model objective function defined successfully.
2021-11-16 11:51:05.727 | INFO     | request id: None | __main__:build_and_run - Model setup completed successfully.
2021-11-16 11:51:05.727 | INFO     | request id: None | __main__:build_and_run - Solving model...
2021-11-16 11:51:05.746 | DEBUG    | request id: None | __main__:_solve_model - Solver starting...
2021-11-16 19:11:22.510 | DEBUG    | request id: None | base.data_connectors.PandasFileConnector:load - [PandasFileConnector] Data loading (./data/or2/q1_data.csv) initiated...
2021-11-16 19:11:22.510 | DEBUG    | request id: None | base.data_connectors.PandasFileConnector:_check_filetype - [_check_filetype] File extension detected as .csv
2021-11-16 19:11:22.516 | INFO     | request id: None | base.data_connectors.PandasFileConnector:load - [PandasFileConnector] Data loaded (./data/or2/q1_data.csv) successfully.
2021-11-16 19:11:22.535 | INFO     | request id: None | __main__:build_and_run - Setting up model...
2021-11-16 19:11:22.535 | DEBUG    | request id: None | __main__:_set_parameters - Defining model indices and sets...
2021-11-16 19:11:22.536 | DEBUG    | request id: None | __main__:_set_parameters - Model indices and sets defined successfully.
2021-11-16 19:11:22.536 | DEBUG    | request id: None | __main__:_set_parameters - Defining model parameters...
2021-11-16 19:11:22.545 | DEBUG    | request id: None | __main__:_set_parameters - Model parameters defined successfully.
2021-11-16 19:11:22.546 | DEBUG    | request id: None | __main__:_set_parameters - Defining model decision variables...
2021-11-16 19:11:22.546 | DEBUG    | request id: None | __main__:_set_parameters - Model decision variables defined successfully.
2021-11-16 19:11:22.546 | DEBUG    | request id: None | __main__:_set_constraints - Defining model constraints...
2021-11-16 19:11:22.550 | DEBUG    | request id: None | __main__:_set_constraints - Model constraints defined successfully.
2021-11-16 19:11:22.551 | DEBUG    | request id: None | __main__:_set_objective_function - Defining model objective function...
2021-11-16 19:11:22.551 | DEBUG    | request id: None | __main__:_set_objective_function - Model objective function defined successfully.
2021-11-16 19:11:22.552 | INFO     | request id: None | __main__:build_and_run - Model setup completed successfully.
2021-11-16 19:11:22.552 | INFO     | request id: None | __main__:build_and_run - Solving model...
2021-11-16 19:11:22.571 | DEBUG    | request id: None | __main__:_solve_model - Solver starting...
2021-11-16 19:12:14.477 | DEBUG    | request id: None | base.data_connectors.PandasFileConnector:load - [PandasFileConnector] Data loading (./data/or2/q1_data.csv) initiated...
2021-11-16 19:12:14.478 | DEBUG    | request id: None | base.data_connectors.PandasFileConnector:_check_filetype - [_check_filetype] File extension detected as .csv
2021-11-16 19:12:14.482 | INFO     | request id: None | base.data_connectors.PandasFileConnector:load - [PandasFileConnector] Data loaded (./data/or2/q1_data.csv) successfully.
